SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SA_PG,SHOT_PCT,SV_PCT,PTS,PT_PCT,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,F,HITSF,HITSA,GWY,TWY,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251012,29,Anaheim Ducks,ANA,82,35,37,0.95,221,261,2.7,3.18,-0.48,67.67,32.29,3.98,0.9,80,0.42,44.6,221,26,11.8,248,64,74.2,86.0,323,731,12,1876,1448,1171,349,0.3,26.94,27.65,57.6,55.21,41.85,0.42,34.35,0.65,ANA,Pacific,Western
2024-2025,20251012,11,Boston Bruins,BOS,82,33,39,0.85,222,271,2.71,3.3,-0.59,60.04,28.61,4.51,0.88,76,0.42,51.7,230,35,15.2,236,56,76.3,91.5,318,801,30,2168,1793,1335,438,0.33,26.11,34.88,34.46,71.06,41.63,0.4,33.03,-0.03,BOS,Atlantic,Eastern
2024-2025,20251012,15,Buffalo Sabres,BUF,82,36,39,0.92,269,287,3.28,3.5,-0.22,59.87,28.88,5.48,0.88,79,0.43,47.8,229,43,18.8,241,57,76.3,95.1,330,837,23,1729,1784,1196,378,0.32,56.98,30.44,25.53,61.92,43.72,0.47,38.34,-2.34,BUF,Atlantic,Eastern
2024-2025,20251012,23,Calgary Flames,CGY,82,41,27,1.52,225,236,2.74,2.88,-0.14,60.39,28.93,4.54,0.9,96,0.51,46.2,233,49,21.0,226,54,76.1,97.1,308,756,23,1908,1651,1285,435,0.34,36.13,45.88,60.1,72.39,53.63,0.48,38.96,2.04,CGY,Pacific,Western
2024-2025,20251012,3,Carolina Hurricanes,CAR,82,47,30,1.57,266,230,3.24,2.8,0.44,49.78,24.93,6.52,0.89,99,0.55,52.7,246,46,18.7,244,40,83.6,102.3,286,648,8,1415,1915,1329,452,0.34,50.42,72.69,48.98,35.22,51.83,0.57,46.94,0.06,CAR,Metropolitan,Eastern
2024-2025,20251012,20,Chicago Blackhawks,CHI,82,25,46,0.54,226,292,2.76,3.56,-0.8,62.78,31.11,4.39,0.89,61,0.34,44.8,189,47,24.9,227,47,79.3,104.2,280,705,20,1533,1734,1190,413,0.35,43.08,29.97,32.56,33.38,34.75,0.38,30.78,-5.78,CHI,Central,Western
2024-2025,20251012,22,Colorado Avalanche,COL,82,49,29,1.69,277,231,3.38,2.82,0.56,54.95,25.93,6.15,0.89,102,0.54,47.1,234,58,24.8,208,42,79.8,104.6,248,560,11,1549,1633,1234,416,0.34,67.49,65.35,51.28,38.99,55.78,0.59,48.35,0.65,COL,Central,Western
2024-2025,20251012,19,Columbus Blue Jackets,CBJ,82,40,33,1.21,273,267,3.33,3.26,0.07,62.96,29.93,5.29,0.89,89,0.48,47.8,185,36,19.5,217,50,77.0,96.5,278,676,28,1656,1611,1241,391,0.32,61.25,37.88,43.49,37.53,45.04,0.51,41.87,-1.87,CBJ,Metropolitan,Eastern
2024-2025,20251012,27,Dallas Stars,DAL,82,50,26,1.92,277,222,3.38,2.71,0.67,59.16,29.05,5.71,0.91,106,0.57,52.2,250,55,22.0,228,41,82.0,104.0,257,572,10,1245,2081,1340,373,0.28,66.16,63.01,71.29,27.51,56.99,0.61,49.91,0.09,DAL,Central,Western
2024-2025,20251012,16,Detroit Red Wings,DET,82,39,35,1.11,238,259,2.9,3.16,-0.26,60.6,28.49,4.79,0.89,86,0.47,49.0,237,64,27.0,184,55,70.1,97.1,231,557,9,1570,1827,1255,367,0.29,52.24,35.75,42.25,45.76,44.0,0.46,37.49,1.51,DET,Atlantic,Eastern
2024-2025,20251012,24,Edmonton Oilers,EDM,82,48,29,1.66,259,235,3.16,2.87,0.29,54.72,26.96,5.77,0.89,101,0.53,50.9,215,51,23.7,206,45,78.2,101.9,259,607,15,1241,1657,1215,443,0.36,55.01,59.2,52.93,34.49,50.41,0.55,44.93,3.07,EDM,Pacific,Western
2024-2025,20251012,4,Florida Panthers,FLO,82,47,31,1.52,252,223,3.07,2.72,0.35,52.88,26.2,5.81,0.9,98,0.53,49.4,238,56,23.5,244,47,80.7,104.2,340,843,21,2446,1822,1176,410,0.35,50.29,61.63,56.39,74.11,60.61,0.56,45.94,1.06,FLA,Atlantic,Eastern
2024-2025,20251012,28,Los Angeles Kings,LAK,82,48,25,1.92,250,203,3.05,2.48,0.57,54.91,25.5,5.55,0.9,105,0.58,50.6,207,37,17.9,237,44,81.4,99.3,287,632,19,1742,1826,1150,351,0.31,41.64,75.74,65.51,41.86,56.19,0.6,49.36,-1.36,LAK,Pacific,Western
