SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251022,29,Anaheim Ducks,ANA,6,3,2,1.5,19,20,3.17,3.33,-0.16,33,9.6,7,49.6,25,5,20,14,3,78.6,98.6,19,47,2.849,56.34,48.32,47.32,58.27,52.56,0.48,2.85,0.15,ANA,Pacific,Western
2024-2025,20251022,11,Boston Bruins,BOS,8,3,5,0.6,24,26,3,3.25,-0.25,26.75,11.21,6,55.8,30,5,16.7,33,4,87.9,104.6,41,90,3.532,45.17,50.21,48.6,67.47,52.86,0.46,3.68,-0.68,BOS,Atlantic,Eastern
2024-2025,20251022,15,Buffalo Sabres,BUF,6,2,4,0.5,15,18,2.5,3,-0.5,29.5,8.47,4,42.1,19,5,26.3,24,1,95.8,122.1,33,74,3.625,43.76,60.49,57.27,60.31,55.46,0.41,2.46,-0.46,BUF,Atlantic,Eastern
2024-2025,20251022,23,Calgary Flames,CGY,7,1,6,0.17,12,27,1.71,3.86,-2.15,25.43,6.74,2,47.3,27,4,14.8,28,7,75,89.8,37,94,4.182,13.97,34.51,31.83,70.02,37.58,0.16,1.15,-0.15,CGY,Pacific,Western
2024-2025,20251022,3,Carolina Hurricanes,CAR,6,5,1,5,24,15,4,2.5,1.5,35.67,11.21,10,52.3,21,2,9.5,19,2,89.5,99,24,48,2.548,65.89,65.96,62.9,30.09,56.21,0.72,4.31,0.69,CAR,Metropolitan,Eastern
2024-2025,20251022,20,Chicago Blackhawks,CHI,7,2,2,1,22,17,3.14,2.43,0.71,24.43,12.87,6,47.8,22,4,18.2,33,6,81.8,100,41,96,3.667,48.14,56.57,56.64,52.19,53.39,0.63,4.38,-2.38,CHI,Central,Western
2024-2025,20251022,22,Colorado Avalanche,COL,7,5,0,inf,24,13,3.43,1.86,1.57,33.29,10.3,12,51.9,26,3,11.5,18,3,83.3,94.8,21,48,2.064,54.27,70.49,71.76,23.52,55.01,0.77,5.41,-0.41,COL,Central,Western
2024-2025,20251022,19,Columbus Blue Jackets,CBJ,6,3,3,1,19,16,3.17,2.67,0.5,31.17,10.16,6,52.8,15,3,20,20,8,60,80,25,53,2.782,53.42,42.63,46.11,43.28,46.36,0.58,3.51,-0.51,CBJ,Metropolitan,Eastern
2024-2025,20251022,27,Dallas Stars,DAL,6,3,3,1,20,23,3.33,3.83,-0.5,26.17,12.74,6,54.1,17,5,29.4,20,7,65,94.4,25,66,3.778,61.91,22.95,29.96,45.07,39.98,0.43,2.58,0.42,DAL,Central,Western
2024-2025,20251022,16,Detroit Red Wings,DET,6,5,1,5,20,14,3.33,2.33,1,27,12.35,10,52.4,18,4,22.2,13,1,92.3,114.5,15,30,1.88,56.58,72.57,67.96,34.63,57.94,0.67,4.03,0.97,DET,Atlantic,Eastern
