"SEASON","RANK","TEAM","TEAM_ABB","GP","W","L","T","OW","OL","WL_PCT","GF","GA","DIFF","PWP"
"2024-2025",1,"Florida Panthers","FLA",23,16,7,0,2,2,0.696,94,56,38,0.738055462746408
"2024-2025",2,"Edmonton Oilers","EDM",22,14,8,0,5,1,0.636,82,73,9,0.557869410105368
"2024-2025",3,"Carolina Hurricanes","CAR",15,9,6,0,2,1,0.6,44,39,5,0.560023141452126
"2024-2025",4,"Dallas Stars","DAL",18,9,9,0,3,0,0.5,45,60,-15,0.36
"2024-2025",5,"Toronto Maple Leafs","TOR",13,7,6,0,2,2,0.538,36,42,-6,0.423529411764706
"2024-2025",6,"Winnipeg Jets","WPG",13,6,7,0,1,1,0.462,35,40,-5,0.433628318584071
"2024-2025",7,"Washington Capitals","WSH",10,5,5,0,1,1,0.5,25,27,-2,0.461595273264402
"2024-2025",8,"Vegas Golden Knights","VGK",11,5,6,0,2,2,0.455,28,35,-7,0.390243902439024
"2024-2025",9,"Colorado Avalanche","COL",7,3,4,0,0,2,0.429,24,21,3,0.566371681415929
"2024-2025",10,"St. Louis Blues","STL",7,3,4,0,0,1,0.429,27,21,6,0.623076923076923
"2024-2025",11,"Ottawa Senators","OTT",6,2,4,0,1,2,0.333,16,19,-3,0.414910858995138
"2024-2025",12,"Minnesota Wild","MIN",6,2,4,0,0,2,0.333,19,18,1,0.527007299270073
"2024-2025",13,"Los Angeles Kings","LAK",6,2,4,0,0,1,0.333,24,27,-3,0.441379310344828
"2024-2025",14,"New Jersey Devils","NJD",5,1,4,0,1,1,0.2,11,19,-8,0.25103734439834
"2024-2025",15,"Montreal Canadiens","MTL",5,1,4,0,0,1,0.2,12,18,-6,0.307692307692308
"2024-2025",16,"Tampa Bay Lightning","TBL",5,1,4,0,0,0,0.2,12,19,-7,0.285148514851485
