PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK
Jakob Pelletier,Syracuse Crunch,53,23,41,64,0.774,0.434,1.21,0.245,22,https://www.eliteprospects.com/player/410525/jakob-pelletier
Laurent Dauphin,Laval Rocket,53,15,44,59,0.83,0.283,1.11,0.642,22,https://www.eliteprospects.com/player/126400/laurent-dauphin
Cameron Hughes,Texas Stars,56,14,45,59,0.804,0.25,1.05,0.75,14,https://www.eliteprospects.com/player/62155/cameron-hughes
Alex Barre-Boulet,Colorado Eagles,57,19,39,58,0.684,0.333,1.02,0.456,21,https://www.eliteprospects.com/player/227670/alex-barre-boulet
Tanner Laczynski,Henderson Silver Knights,50,17,39,56,0.78,0.34,1.12,0.66,31,https://www.eliteprospects.com/player/234312/tanner-laczynski
Arthur Kaliyev,Belleville Senators,58,31,24,55,0.414,0.534,0.95,0.448,-16,https://www.eliteprospects.com/player/316114/arthur-kaliyev
Seth Griffith,Bakersfield Condors,59,16,39,55,0.661,0.271,0.93,0.644,2,https://www.eliteprospects.com/player/45606/seth-griffith
Logan Morrison,Coachella Valley Firebirds,57,26,27,53,0.474,0.456,0.93,0.702,24,https://www.eliteprospects.com/player/201937/logan-morrison
Alex Belzile,Laval Rocket,58,26,26,52,0.448,0.448,0.9,1.069,12,https://www.eliteprospects.com/player/68593/alex-belzile
Justin Robidas,Chicago Wolves,53,22,30,52,0.566,0.415,0.98,0.264,18,https://www.eliteprospects.com/player/411012/justin-robidas
Jagger Firkus,Coachella Valley Firebirds,57,20,32,52,0.561,0.351,0.91,0.281,14,https://www.eliteprospects.com/player/565465/jagger-firkus
Conor Geekie,Syracuse Crunch,48,14,38,52,0.792,0.292,1.08,0.958,13,https://www.eliteprospects.com/player/571034/conor-geekie
Bradly Nadeau,Chicago Wolves,46,25,26,51,0.565,0.543,1.11,0.522,17,https://www.eliteprospects.com/player/619153/bradly-nadeau
Benoit-Olivier Groulx,Toronto Marlies,54,27,23,50,0.426,0.5,0.93,0.593,13,https://www.eliteprospects.com/player/335689/benoit-olivier-groulx
Quinn Hutson,Bakersfield Condors,54,26,24,50,0.444,0.481,0.93,1.333,0,https://www.eliteprospects.com/player/201721/quinn-hutson
Ilya Protas,Hershey Bears,59,25,25,50,0.424,0.424,0.85,0.576,9,https://www.eliteprospects.com/player/949987/ilya-protas
Zac Jones,Rochester Americans,47,8,42,50,0.894,0.17,1.06,0.255,-4,https://www.eliteprospects.com/player/364649/zac-jones
Dylan Duke,Syracuse Crunch,59,29,20,49,0.339,0.492,0.83,0.508,-5,https://www.eliteprospects.com/player/512163/dylan-duke
Patrick Brown,Providence Bruins,58,17,32,49,0.552,0.293,0.84,0.793,34,https://www.eliteprospects.com/player/75038/patrick-brown
Mitchell Chaffee,Syracuse Crunch,47,20,28,48,0.596,0.426,1.02,1.128,3,https://www.eliteprospects.com/player/296327/mitchell-chaffee
Luca Del Bel Belluz,Cleveland Monsters,46,18,30,48,0.652,0.391,1.04,0.043,2,https://www.eliteprospects.com/player/525669/luca-del-bel-belluz
Georgii Merkulov,Providence Bruins,56,18,30,48,0.536,0.321,0.86,0.607,15,https://www.eliteprospects.com/player/395630/georgii-merkulov
Felix Unger Sorum,Chicago Wolves,56,11,37,48,0.661,0.196,0.86,0.321,-1,https://www.eliteprospects.com/player/618598/felix-unger-sorum
Ben McCartney,Tucson Roadrunners,49,21,26,47,0.531,0.429,0.96,1.347,6,https://www.eliteprospects.com/player/351230/ben-mccartney
