DATE,PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK,SEASON,LEAGUE
4/3/2026,Jakob Pelletier,Syracuse Crunch,59,27,46,73,0.78,0.458,1.24,0.288,24,https://www.eliteprospects.com/player/410525/jakob-pelletier,2025-2026,ahl
4/3/2026,Alex Barre-Boulet,Colorado Eagles,64,24,42,66,0.656,0.375,1.03,0.406,17,https://www.eliteprospects.com/player/227670/alex-barre-boulet,2025-2026,ahl
4/3/2026,Cameron Hughes,Texas Stars,63,16,50,66,0.794,0.254,1.05,0.73,13,https://www.eliteprospects.com/player/62155/cameron-hughes,2025-2026,ahl
4/3/2026,Tanner Laczynski,Henderson Silver Knights,57,20,41,61,0.719,0.351,1.07,0.614,36,https://www.eliteprospects.com/player/234312/tanner-laczynski,2025-2026,ahl
4/3/2026,Arthur Kaliyev,Belleville Senators,63,36,24,60,0.381,0.571,0.95,0.444,-14,https://www.eliteprospects.com/player/316114/arthur-kaliyev,2025-2026,ahl
4/3/2026,Conor Geekie,Syracuse Crunch,54,17,42,59,0.778,0.315,1.09,1.037,14,https://www.eliteprospects.com/player/571034/conor-geekie,2025-2026,ahl
4/3/2026,Seth Griffith,Bakersfield Condors,64,16,43,59,0.672,0.25,0.92,0.688,0,https://www.eliteprospects.com/player/45606/seth-griffith,2025-2026,ahl
4/3/2026,Laurent Dauphin,Laval Rocket,53,15,44,59,0.83,0.283,1.11,0.642,22,https://www.eliteprospects.com/player/126400/laurent-dauphin,2025-2026,ahl
4/3/2026,Alex Belzile,Laval Rocket,63,28,29,57,0.46,0.444,0.9,1.048,13,https://www.eliteprospects.com/player/68593/alex-belzile,2025-2026,ahl
4/3/2026,Logan Morrison,Coachella Valley Firebirds,63,27,30,57,0.476,0.429,0.9,0.635,22,https://www.eliteprospects.com/player/201937/logan-morrison,2025-2026,ahl
4/3/2026,Luca Del Bel Belluz,Cleveland Monsters,53,22,35,57,0.66,0.415,1.08,0.038,-2,https://www.eliteprospects.com/player/525669/luca-del-bel-belluz,2025-2026,ahl
4/3/2026,Justin Robidas,Chicago Wolves,57,22,35,57,0.614,0.386,1,0.246,18,https://www.eliteprospects.com/player/411012/justin-robidas,2025-2026,ahl
